GEOID,LAND_AREA,Tot_Population_ACS_17_21,pct_Males_ACS_17_21,Median_Age_ACS_17_21,pct_Pop_5_17_ACS_17_21,pct_Pop_18_24_ACS_17_21,pct_Pop_25_44_ACS_17_21,pct_Pop_45_64_ACS_17_21,pct_Pop_65plus_ACS_17_21,pct_Hispanic_ACS_17_21,pct_NH_White_alone_ACS_17_21,pct_NH_Blk_alone_ACS_17_21,pct_NH_AIAN_alone_ACS_17_21,pct_NH_Asian_alone_ACS_17_21,pct_NH_NHOPI_alone_ACS_17_21,pct_NH_SOR_alone_ACS_17_21,pct_NH_Multi_Races_ACS_17_21,pct_Othr_Lang_ACS_17_21,pct_Not_HS_Grad_ACS_17_21,pct_College_ACS_17_21,pct_Prs_Blw_Pov_Lev_ACS_17_21,pct_Rel_Family_HHD_ACS_17_21,pct_MrdCple_HHD_ACS_17_21,pct_Not_MrdCple_HHD_ACS_17_21,pct_HHD_PPL_Und_18_ACS_17_21,avg_Tot_Prns_in_HHD_ACS_17_21,pct_Rel_Under_6_ACS_17_21,pct_PUB_ASST_INC_ACS_17_21,Med_HHD_Inc_BG_ACS_17_21,Aggregate_HH_INC_ACS_17_21,avg_Agg_HH_INC_ACS_17_21,Tot_Housing_Units_ACS_17_21,Tot_Occp_Units_ACS_17_21,pct_Tot_Occp_Units_ACS_17_21,Occp_U_NO_PH_SRVC_ACS_17_21,pct_Occp_U_NO_PH_SRVC_ACS_17_21,phone_response_rate_cen_2020,pct_URBAN_POP_CEN_2020,pct_RURAL_POP_CEN_2020
5.3005E+11,0.217,1778,42.29,26.4,25.98,13.1,19.8,22.22,11.75,25.65,62.49,5.68,0,4.16,0,0,2.02,27.44,7.11,21.03,29.46,48.81,16.01,83.99,33.47,2.29,15.99,5.42,40726,39530000,52288,970,756,0.779381443,31,0.031958763,1.8,100,0
5.3005E+11,0.401,2099,43.21,31.2,29.73,4.14,23.77,21.49,12.15,8.77,83.9,0.81,0,0.52,0,0,6,3.24,3.82,24.48,4.72,84.64,55.33,44.67,42.01,3.29,19.44,3.29,96688,56300900,88246,638,638,1,0,0,1.2,100,0
5.3005E+11,0.284,902,47.34,42.7,4.21,6.43,36.7,18.74,28.16,3.99,80.6,0,0,4.1,0,0,11.31,2.12,5.04,30.11,1.66,59.95,55.21,44.79,12.32,2.13,9.88,3.79,72955,44157400,104638,422,422,1,0,0,1,100,0
5.3005E+11,0.226,1910,69.58,25,26.54,10.68,22.51,20.47,6.81,52.3,42.15,5.55,0,0,0,0,0,17.21,3.79,42.27,42.04,60.76,23.09,76.91,40.8,3.32,47.71,15.8,65682,93006100,161469,657,576,0.876712329,0,0,1.6,100,0
5.3005E+11,1.376,1242,48.55,31.4,14.33,17.55,41.87,14.41,7.17,22.14,71.74,1.45,0,0.97,0,0,3.7,17.65,4.44,45.56,10.47,50.55,16.48,83.52,30.4,2.27,31.88,8.24,81717,48569700,88955,568,546,0.961267606,0,0,0.6,95.67,4.33
5.3005E+11,0.333,2187,51.49,31.9,14.22,11.75,32.69,21.99,10.97,14.86,76.63,3.84,0,0.64,0,0.23,3.8,9.13,3.48,26.11,11.67,53.46,24.68,75.32,35.17,2.37,21.05,2.6,71500,71671600,77567,1005,924,0.919402985,19,0.018905473,1.1,100,0
5.3005E+11,0.122,800,50.63,31.1,24.25,13.75,30.38,23.88,6.38,29.13,68.25,0,0,0.75,0,0,1.88,19.77,14.02,12.99,15.25,71.86,38.02,61.98,36.88,3.04,5.82,0,52614,22654400,86138,296,263,0.888513514,0,0,1.4,100,0
5.3005E+11,0.125,650,62.62,49.7,7.08,14.77,22.31,24.15,29.69,9.54,76.15,0,5.54,4.92,0,0,3.85,9.11,15.56,14.14,6.15,36.28,20.65,79.35,10.91,1.92,12.2,0,39256,19697600,58105,367,339,0.923705722,0,0,1.9,100,0
5.3005E+11,0.473,1276,65.13,30.4,17.95,10.42,34.87,17.55,9.01,29.7,61.99,1.88,2.04,0.86,0,1.65,1.88,10.47,7.27,23.47,8.17,52.33,33.92,66.08,38.36,2.7,26.27,0,59866,32995000,73160,472,451,0.955508475,21,0.044491525,1.5,100,0
5.3005E+11,0.532,1995,45.11,28.4,25.16,6.12,34.59,14.04,7.12,12.08,83.86,0,0.25,0.85,0,0,2.96,12.96,6.21,21.67,14.65,75.5,56.4,43.6,52.25,3.59,32.7,2.34,77039,46707100,84157,672,555,0.825892857,0,0,0.9,100,0
5.3005E+11,0.27,1177,50.55,33.6,12.32,9.18,41.12,21.07,12.23,5.27,89.38,0.68,0,0,0,0,4.67,6.11,5.37,13.13,7.65,64.64,37.45,62.55,28.24,2.46,7.77,3.56,51765,31346500,65578,478,478,1,9,0.018828452,0.9,100,0
5.3005E+11,0.104,850,58.35,30.9,23.53,5.53,28.12,14.12,11.06,20.35,70.35,0.71,0,0,3.65,0,4.94,21,5.08,4.42,8.24,62.29,33.05,66.95,54.24,3.58,51.02,0,79286,16790500,71146,282,236,0.836879433,0,0,1.8,100,0
5.3005E+11,0.528,642,55.14,24.6,19.16,22.74,32.24,5.92,9.81,35.2,60.59,3.27,0,0,0,0,0.93,11.96,2.27,14.94,29.67,60.42,36.25,63.75,56.67,2.5,44.14,4.17,40645,11587200,48280,240,240,1,0,0,1.6,100,0
